section_id,message_ar,message_en
15,في صباح العيد تتزين الدنيا بابتسامات الناس وكأن الفرح تكوّن في الهواء وتشعر أن الله يكتب لك بداية جديدة في كل لحظة صدق نسأل الله أن يكتب لكم عيدًا مليئًا بالفرح.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,يأتي عيد الفطر ليخبرنا أن بعد الصوم فرح، وبعد التعب راحة، وبعد الدعاء إجابة ويجعل الأيام المقبلة أكثر لطفًا مما تتوقع نسأل الله أن يعيده عليكم بالخير والطمأنينة.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,العيد نافذة واسعة يرى منها القلب نور الأمل كلما ضاقت به الأيام وتولد مع العيد مشاعر دافئة تمنحك ما يكفي من القوة نسأل الله أن يجعل عيدكم نورًا وسعادة وهناءً دائمًا.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,عيد الفطر موسم للسلام الداخلي، وفرصة ليصالح الإنسان نفسه قبل الآخرين وترى البركة في الأشياء الصغيرة التي لم تكن تلاحظها من قبل عيدكم سعيد، وأسأل الله أن يبارك في حياتكم كلها.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,العيد لحظة يكتشف فيها القلب أنه ما زال قادرًا على الفرح مهما أثقلته الحياة وكأن العيد يمسح الغبار عن الروح ويعيدها مشرقة كل عام وأنتم في حماية الله وواسع فضله.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,في أجواء العيد تشعر أن الكون كله يبتسم ويهديك نسمة رضا ويُشعر الإنسان أن المسافات بين القلوب يمكن أن تختفي بكلمة طيبة جعل الله عيدكم عامرًا بالسلام والبركة.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,العيد يزرع في الأرواح معنى التجدد، وكأن كل شيء يبدأ من جديد ويعود الضوء إلى تفاصيل كانت باهتة قبل يومين فقط جعل الله عيد الفطر بداية خير لا ينتهي لكم.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,عيد الفطر رسالة لطيفة من السماء تقول: ما زال الخير ممكنًا ويصبح العيد فرصة لتدفن الحزن وتستقبل السلام بقلب مطمئن عيدكم مبارك، وأحلامكم أقرب مما تتخيلون.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,في العيد تنبض الأرواح بالمحبة، ويعود الصفاء إلى الأماكن التي غادرها ويعيد ترتيب القلب على نغمة الامتنان والسكينة عيدكم مبارك، وأيامكم القادمة أجمل بعون الله.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,عيد الفطر يأتي كنسمة رحمة تلامس القلوب المتعبة وتوقظ فيها أملاً جديدًا فتنشرح الصدور وتكبر الأمنيات كأنها وليدة هذا اليوم المبارك فكل عام وأنتم بخير، وعيدكم مبارك بالرضا والمحبة.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,في صباح العيد تتزين الدنيا بابتسامات الناس وكأن الفرح تكوّن في الهواء وتشعر أن الله يكتب لك بداية جديدة في كل لحظة صدق نسأل الله أن يكتب لكم عيدًا مليئًا بالفرح.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,يأتي عيد الفطر ليخبرنا أن بعد الصوم فرح، وبعد التعب راحة، وبعد الدعاء إجابة ويجعل الأيام المقبلة أكثر لطفًا مما تتوقع نسأل الله أن يعيده عليكم بالخير والطمأنينة.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,العيد نافذة واسعة يرى منها القلب نور الأمل كلما ضاقت به الأيام وتولد مع العيد مشاعر دافئة تمنحك ما يكفي من القوة نسأل الله أن يجعل عيدكم نورًا وسعادة وهناءً دائمًا.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,عيد الفطر موسم للسلام الداخلي، وفرصة ليصالح الإنسان نفسه قبل الآخرين وترى البركة في الأشياء الصغيرة التي لم تكن تلاحظها من قبل عيدكم سعيد، وأسأل الله أن يبارك في حياتكم كلها.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,العيد لحظة يكتشف فيها القلب أنه ما زال قادرًا على الفرح مهما أثقلته الحياة وكأن العيد يمسح الغبار عن الروح ويعيدها مشرقة كل عام وأنتم في حماية الله وواسع فضله.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,في أجواء العيد تشعر أن الكون كله يبتسم ويهديك نسمة رضا ويُشعر الإنسان أن المسافات بين القلوب يمكن أن تختفي بكلمة طيبة جعل الله عيدكم عامرًا بالسلام والبركة.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,العيد يزرع في الأرواح معنى التجدد، وكأن كل شيء يبدأ من جديد ويعود الضوء إلى تفاصيل كانت باهتة قبل يومين فقط جعل الله عيد الفطر بداية خير لا ينتهي لكم.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,عيد الفطر رسالة لطيفة من السماء تقول: ما زال الخير ممكنًا ويصبح العيد فرصة لتدفن الحزن وتستقبل السلام بقلب مطمئن عيدكم مبارك، وأحلامكم أقرب مما تتخيلون.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,في العيد تنبض الأرواح بالمحبة، ويعود الصفاء إلى الأماكن التي غادرها ويعيد ترتيب القلب على نغمة الامتنان والسكينة عيدكم مبارك، وأيامكم القادمة أجمل بعون الله.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,عيد الفطر يأتي كنسمة رحمة تلامس القلوب المتعبة وتوقظ فيها أملاً جديدًا فتنشرح الصدور وتكبر الأمنيات كأنها وليدة هذا اليوم المبارك فكل عام وأنتم بخير، وعيدكم مبارك بالرضا والمحبة.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,في صباح العيد تتزين الدنيا بابتسامات الناس وكأن الفرح تكوّن في الهواء وتشعر أن الله يكتب لك بداية جديدة في كل لحظة صدق نسأل الله أن يكتب لكم عيدًا مليئًا بالفرح.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,يأتي عيد الفطر ليخبرنا أن بعد الصوم فرح، وبعد التعب راحة، وبعد الدعاء إجابة ويجعل الأيام المقبلة أكثر لطفًا مما تتوقع نسأل الله أن يعيده عليكم بالخير والطمأنينة.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,العيد نافذة واسعة يرى منها القلب نور الأمل كلما ضاقت به الأيام وتولد مع العيد مشاعر دافئة تمنحك ما يكفي من القوة نسأل الله أن يجعل عيدكم نورًا وسعادة وهناءً دائمًا.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,عيد الفطر موسم للسلام الداخلي، وفرصة ليصالح الإنسان نفسه قبل الآخرين وترى البركة في الأشياء الصغيرة التي لم تكن تلاحظها من قبل عيدكم سعيد، وأسأل الله أن يبارك في حياتكم كلها.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,العيد لحظة يكتشف فيها القلب أنه ما زال قادرًا على الفرح مهما أثقلته الحياة وكأن العيد يمسح الغبار عن الروح ويعيدها مشرقة كل عام وأنتم في حماية الله وواسع فضله.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,في أجواء العيد تشعر أن الكون كله يبتسم ويهديك نسمة رضا ويُشعر الإنسان أن المسافات بين القلوب يمكن أن تختفي بكلمة طيبة جعل الله عيدكم عامرًا بالسلام والبركة.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,العيد يزرع في الأرواح معنى التجدد، وكأن كل شيء يبدأ من جديد ويعود الضوء إلى تفاصيل كانت باهتة قبل يومين فقط جعل الله عيد الفطر بداية خير لا ينتهي لكم.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,عيد الفطر رسالة لطيفة من السماء تقول: ما زال الخير ممكنًا ويصبح العيد فرصة لتدفن الحزن وتستقبل السلام بقلب مطمئن عيدكم مبارك، وأحلامكم أقرب مما تتخيلون.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,في العيد تنبض الأرواح بالمحبة، ويعود الصفاء إلى الأماكن التي غادرها ويعيد ترتيب القلب على نغمة الامتنان والسكينة عيدكم مبارك، وأيامكم القادمة أجمل بعون الله.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,عيد الفطر يأتي كنسمة رحمة تلامس القلوب المتعبة وتوقظ فيها أملاً جديدًا فتنشرح الصدور وتكبر الأمنيات كأنها وليدة هذا اليوم المبارك فكل عام وأنتم بخير، وعيدكم مبارك بالرضا والمحبة.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,في صباح العيد تتزين الدنيا بابتسامات الناس وكأن الفرح تكوّن في الهواء وتشعر أن الله يكتب لك بداية جديدة في كل لحظة صدق نسأل الله أن يكتب لكم عيدًا مليئًا بالفرح.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,يأتي عيد الفطر ليخبرنا أن بعد الصوم فرح، وبعد التعب راحة، وبعد الدعاء إجابة ويجعل الأيام المقبلة أكثر لطفًا مما تتوقع نسأل الله أن يعيده عليكم بالخير والطمأنينة.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,العيد نافذة واسعة يرى منها القلب نور الأمل كلما ضاقت به الأيام وتولد مع العيد مشاعر دافئة تمنحك ما يكفي من القوة نسأل الله أن يجعل عيدكم نورًا وسعادة وهناءً دائمًا.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,عيد الفطر موسم للسلام الداخلي، وفرصة ليصالح الإنسان نفسه قبل الآخرين وترى البركة في الأشياء الصغيرة التي لم تكن تلاحظها من قبل عيدكم سعيد، وأسأل الله أن يبارك في حياتكم كلها.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,العيد لحظة يكتشف فيها القلب أنه ما زال قادرًا على الفرح مهما أثقلته الحياة وكأن العيد يمسح الغبار عن الروح ويعيدها مشرقة كل عام وأنتم في حماية الله وواسع فضله.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,في أجواء العيد تشعر أن الكون كله يبتسم ويهديك نسمة رضا ويُشعر الإنسان أن المسافات بين القلوب يمكن أن تختفي بكلمة طيبة جعل الله عيدكم عامرًا بالسلام والبركة.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,العيد يزرع في الأرواح معنى التجدد، وكأن كل شيء يبدأ من جديد ويعود الضوء إلى تفاصيل كانت باهتة قبل يومين فقط جعل الله عيد الفطر بداية خير لا ينتهي لكم.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,عيد الفطر رسالة لطيفة من السماء تقول: ما زال الخير ممكنًا ويصبح العيد فرصة لتدفن الحزن وتستقبل السلام بقلب مطمئن عيدكم مبارك، وأحلامكم أقرب مما تتخيلون.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,في العيد تنبض الأرواح بالمحبة، ويعود الصفاء إلى الأماكن التي غادرها ويعيد ترتيب القلب على نغمة الامتنان والسكينة عيدكم مبارك، وأيامكم القادمة أجمل بعون الله.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,عيد الفطر يأتي كنسمة رحمة تلامس القلوب المتعبة وتوقظ فيها أملاً جديدًا فتنشرح الصدور وتكبر الأمنيات كأنها وليدة هذا اليوم المبارك فكل عام وأنتم بخير، وعيدكم مبارك بالرضا والمحبة.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,في صباح العيد تتزين الدنيا بابتسامات الناس وكأن الفرح تكوّن في الهواء وتشعر أن الله يكتب لك بداية جديدة في كل لحظة صدق نسأل الله أن يكتب لكم عيدًا مليئًا بالفرح.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,يأتي عيد الفطر ليخبرنا أن بعد الصوم فرح، وبعد التعب راحة، وبعد الدعاء إجابة ويجعل الأيام المقبلة أكثر لطفًا مما تتوقع نسأل الله أن يعيده عليكم بالخير والطمأنينة.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,العيد نافذة واسعة يرى منها القلب نور الأمل كلما ضاقت به الأيام وتولد مع العيد مشاعر دافئة تمنحك ما يكفي من القوة نسأل الله أن يجعل عيدكم نورًا وسعادة وهناءً دائمًا.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,عيد الفطر موسم للسلام الداخلي، وفرصة ليصالح الإنسان نفسه قبل الآخرين وترى البركة في الأشياء الصغيرة التي لم تكن تلاحظها من قبل عيدكم سعيد، وأسأل الله أن يبارك في حياتكم كلها.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,العيد لحظة يكتشف فيها القلب أنه ما زال قادرًا على الفرح مهما أثقلته الحياة وكأن العيد يمسح الغبار عن الروح ويعيدها مشرقة كل عام وأنتم في حماية الله وواسع فضله.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,في أجواء العيد تشعر أن الكون كله يبتسم ويهديك نسمة رضا ويُشعر الإنسان أن المسافات بين القلوب يمكن أن تختفي بكلمة طيبة جعل الله عيدكم عامرًا بالسلام والبركة.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,العيد يزرع في الأرواح معنى التجدد، وكأن كل شيء يبدأ من جديد ويعود الضوء إلى تفاصيل كانت باهتة قبل يومين فقط جعل الله عيد الفطر بداية خير لا ينتهي لكم.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,عيد الفطر رسالة لطيفة من السماء تقول: ما زال الخير ممكنًا ويصبح العيد فرصة لتدفن الحزن وتستقبل السلام بقلب مطمئن عيدكم مبارك، وأحلامكم أقرب مما تتخيلون.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,في العيد تنبض الأرواح بالمحبة، ويعود الصفاء إلى الأماكن التي غادرها ويعيد ترتيب القلب على نغمة الامتنان والسكينة عيدكم مبارك، وأيامكم القادمة أجمل بعون الله.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
15,عيد الفطر يأتي كنسمة رحمة تلامس القلوب المتعبة وتوقظ فيها أملاً جديدًا فتنشرح الصدور وتكبر الأمنيات كأنها وليدة هذا اليوم المبارك فكل عام وأنتم بخير، وعيدكم مبارك بالرضا والمحبة.,"Eid Al‑Fitr brings light, renewal, and heartfelt peace. May your days be filled with joy, blessings, and moments that draw you closer to everything you pray for."
